helpful,name,postDate,reviewBody,reviewTitle,starRating,verifiedPurchase
3 people found this helpful,Amazon Customer,"Reviewed in the United States on December 15, 2019","I installed these under cabinets and wanted two of them to be about 2' apart. No can do--no linking cables available other than the short ones that ship with unit. If vendors tell you the GE cables will link these, don't believe them. I ordered and they did not fit, different design entirely.If your installation keeps all units close together this is a good choice, if you have to space them more than a foot or so apart, you won't be able to link them because the cables are nowhere to be found online.","Can't find linking cords of different lengths, seem to be not available for this design",2.0 out of 5 stars,Verified Purchase
4 people found this helpful,Runner,"Reviewed in the United States on October 10, 2019","Good light and easy to install. No extra box was needed, though on-line it indicated you needed a special box to connect to ceiling light.",Nice LED light for our kitchen,5.0 out of 5 stars,Verified Purchase
4 people found this helpful,R. Hamilton,"Reviewed in the United States on February 17, 2021","I liked that this assembly is easy to install, is well designed and is compatible with a family of products. For my install, I replaced 3 fluorescent lights with LED lights as a direct wire install. In my case, I used the compatible UltraPro junction boxes for a clean install. Other reviewers noticed that the produced light is a bit yellow. In my case, the kitchen is in warmer colors so the light temperature is not a problem. I can see where a white kitchen the lighting would be too yellow. I would like to see the manufacturer build this same assembly with switchable light temps or individual temps. My installation went very smoothly. Inside the LED light box is a 90 degree/flat plug, a 2 wire link extension, 2 screws and of course the light assembly. Well satisfied with my purchase.",Great LED Light Assembly,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Guy B.,"Reviewed in the United States on April 28, 2020","I liked the looks of the light and the high low switch. I planned on putting it under my upper kitchen cabinets behind facing. The light was too wide to fit without hanging down. Listing showed the light being 1.17 inches wide, however it's close to 1.75 inches wide. Returning item.",Wider than listing shows.,2.0 out of 5 stars,Verified Purchase
2 people found this helpful,Delta128m,"Reviewed in the United States on February 7, 2021","Great online prices and our 24 inch is not easy to find locally, simple & easy DIY install, can be connected together. Ours mounted under newly installed kitchen counter cabinet over the sink, cool & energy efficient and can be easily wired together as part of a smart home integrated with Google Home App with an outlet plug. I can see getting creative with these new LED light strips.",Very good under cabinet additions.,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Dion W.,"Reviewed in the United States on May 2, 2020",I used this as a light got our living room shining up from the top of the fireplace mantle. I was happily surprised by the amount of light it provides and the color tone is a nice warm white. The cord can be a little short for many applications. I spliced in an extension with an inline switch and it works great.,Quality LED with nice Lumens,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Misteron,"Reviewed in the United States on November 23, 2020","It is hard to find any fault with this Item except that the Switch it uses is too small and fragile for constant use. In my case, I wired this Item with the Honeywell Direct Wire Junction Box so I can use the wired Light Switch in my Home.",Works for me.,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Scott C.,"Reviewed in the United States on February 20, 2020",This was the perfect choice for an under counter light for my desk at work. I really like having the choice between the Hi and Low light output settings.,Perfect !!!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Nette,"Reviewed in the United States on September 20, 2020",I mounted this light inside my rolltop desk. It is perfect for use in that area.,Bright light,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Mateana Spiegel,"Reviewed in the United States on November 26, 2020","I was actually surprised at how bright this was. I honestly was expecting a dimmer looking light, but its actually just as bright as my older lighting i had. Only ""downfall"" it has, if you wanna call it that, is the screws it comes with, are a bit small so it was hard to screw into my overhead cabinet. I had to use my own screws. Other than that, so far its nice. Its nice to have have to buy any more ""light bulbs"" for my old unit anymore",Surprised,4.0 out of 5 stars,Verified Purchase
One person found this helpful,Charles LeMaster,"Reviewed in the United States on March 7, 2021","Arrived on time and was well protected. Instruction were clear and easy to follow. Very bight for the small size. This product worked our just right for my under the counter, over the sink install.",Very bright for such a small light.,5.0 out of 5 stars,Verified Purchase
One person found this helpful,LeeC-G,"Reviewed in the United States on April 23, 2020",The 24 inch fixture fits perfectly under the windowsill above my kitchen sink. It has a low profile and clean appearance. The hi/lo switch allows selection of the needed level of brightness. It was extremely easy to install.,this light is just what we needed,5.0 out of 5 stars,Verified Purchase
One person found this helpful,White Bear,"Reviewed in the United States on April 22, 2020","These are nice under cabinet lights. Very light and slim which makes them easy to install, linkable w/included cable and pretty bright. I have 2- 36"" and 2- 18"" and they work great, my wife loves them. A couple tips: I read one guy suggest if you need to extend the linking wire just splice in 16/2 lamp cord ( same as what is there) using crimp connectors and you're all set. Also I have 3 units linked together at the plug end I'm using an in-line switch from Lowes. It's a cube about 11/2"" with a lightened rocker switch to power all three on.","Slim, easy to install, lightweight and pretty darn bright",5.0 out of 5 stars,Verified Purchase
One person found this helpful,Bob and Barb,"Reviewed in the United States on September 14, 2020",This is a great under cabinet light.. going to order couple more,Great lamp,5.0 out of 5 stars,Verified Purchase
One person found this helpful,MEMO52,"Reviewed in the United States on September 30, 2020",I use this for under the cabinet lighting above my sink. Even on the low setting it gives of a large area of light so much brighter than the florescent light previously in that spot. It was easy to install and it's so thin it's almost invisible. I highly recommend this product!,Bright light in a small package,4.0 out of 5 stars,Verified Purchase
One person found this helpful,P. Smith,"Reviewed in the United States on July 6, 2020",The light fixture is exactly as advertised. My only criticism is that the on/off switch is small and awkward to reach. I replaced it with a remote switch.,Good Undercounter Light Fixture,4.0 out of 5 stars,Verified Purchase
One person found this helpful,Bill Youell,"Reviewed in the United States on October 31, 2020","Going to assume I received a defective light. First, the low level lighting failed; eventually the high level lighting failed.","Good light, but bulbs have short life",2.0 out of 5 stars,Verified Purchase
One person found this helpful,Maureen Rudell,"Reviewed in the United States on May 10, 2020",I like this light-I used it on my desk under the hutch shelf. Used command hooks to mount rather than drilling holes for mounting with screws.,Great light,4.0 out of 5 stars,Verified Purchase
One person found this helpful,MacDaddy,"Reviewed in the United States on August 16, 2020",Easy install. Not very bright.Choose not to use (it was THAT dim),Light not-so-bright,3.0 out of 5 stars,Verified Purchase
One person found this helpful,Nonny4,"Reviewed in the United States on April 6, 2021",Love these in my 2 different kitchens I haves used them in ! Perfect under cabinet lighting for counters!,Great under cabinet kitchen lighting,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Lucky 🍀 ,"Reviewed in the United States on July 15, 2020",Easy install. Love the two lights modes low and high. Great light thanks.,Has high and low switch. Excellent,5.0 out of 5 stars,Verified Purchase
