helpful,name,postDate,reviewBody,reviewTitle,starRating,verifiedPurchase
10 people found this helpful,Lila W,"Reviewed in the United States on April 3, 2021","Holy cow. I can deal with an unlikeable character but I had to stop reading this 20% in. This woman is despicable and I can’t continue. Why the heck would anyone keep reading this? I tried. I can’t. The dialogue seems like it was written by a 12 year oldAlso... in just a few chapters, how many times can a heart thump or eyes soften? Good grief. And twice— a fully adult character referred to another as a weenie. I kid you not.Not Rouda’s best",Not Rouda’s best by a long shot. Weenie?,1.0 out of 5 stars,Verified Purchase
10 people found this helpful,Abigail,"Reviewed in the United States on April 1, 2021",Reading from different characters point of view kept this book interesting. The author was able to take someone you love to hate and slowly pull back the curtain for you to understand them enough to feel sympathy for them.,Finished it in one sitting,5.0 out of 5 stars,Verified Purchase
5 people found this helpful,Amanda,"Reviewed in the United States on April 2, 2021","The Next WifeTish is the second wife to Kate's husband John. She’s in her early 20’s, and only 5 years older than their daughter Ashlyn.John left Kate 5 years ago for Tish, his administrative assistant turned new wife.John and Kate own a multi-million dollarcompany that they built from the ground up together - starting in their basement. John suddenly passes away and Tish stands to inherit a lot. Kate thinks not. Foul play is suspected and Kate does not quit untilshe wins.The book goes back and forth between all four points of view in the first person (my favorite kind of book).What I love about this book, is for once the x-wife is not a doormat. She is pretty amazing . This book has smart women in it!!One step ahead of you kind of women. 🙌🏼🙌🏼🙌🏼🌟🌟🌟🌟🌟 stars from me. I read it in one sitting.",Loved it,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,Sally Schmidt,"Reviewed in the United States on April 3, 2021","To say The Next Wife is an exciting read is a vast understatement. It’s non-stop thrills, guesses and surprises. The description alone hooked me, and once I read the first chapter I knew I was destined for an all-night read. I could not stop.Tish. At the start, Tish just seems like the typical younger woman at the office who hooks the older boss who’s having a midlife crisis. Not too likeable but not too surprising. Yes, she’s young, maybe just a bit too young emotionally. She’s won the husband, the job, the house, the money, ousted the first wife and was great friends with the daughter in the early days. But Tish isn’t really the typical second wife, things are just a little off with her. Tish doesn’t just have desire, or yearning or need. What she has is more like rapacious craving. She is determined to have what she wants, and if there is one thing Tish does not lack, it’s confidence. In her looks, her strength of will, and her ability to get her own way. And John starting to pull away, to express some regret at leaving first wife Kate, to display some rebellion against Tish’s rules to keep him isolated, the suspected sneaking around with Kate behind her back, isn’t going to cut it with Tish. Nope. No way. She did not escape her terrible, terribly poor youth to start making concessions now.John. Here’s a guy who thought he knew what he wanted and went after it without hesitation. But after three years, this I-finally-found-the-love-of-my-life thing with Tish doesn’t seem quite so lovely. He misses Kate and is now using every business opportunity he can to be with and communicate with her, he misses his former closeness with his daughter and chafes at Tish trying to maneuver them apart. But he’s exhausted from work, has a heart condition, and doesn’t feel well.Kate. Or should I say Poor Kate. Built this business from the ground up, side by side with husband John, sacrificed a lot, including a close relationship with their daughter Ashlyn, working long, long hours to focus on the firm. And then John meets his soul mate – ugh – and as if personally embarrassing and humiliating Kate in front of their staff isn’t enough, he delays the release of her latest invention until the IPO is launched. As I said, poor Kate. No husband, a daughter who is often distant, and the business she loves invaded by Tish sashaying around. But Kate is no more the typical first wife than Tish is the typical second wife. Kate is strong, controlling, iron-willed and there’s not just heartbreak and loss there, there is smoldering anger.Ashyln is the poor little rich girl. Privileged childhood but a mother with not enough time for her growing up, her home and family disrupted by Tish and her rules and manipulations. She’s an intern at the firm and wants her family and family business back together like it once was. She resents Tish and misses her dad.The focus shifts around between the four of them and it at first seems clear what they think, know and plan to do. But it’s not clear. Their words and thoughts are unsettling and maybe not so obvious after all. There are too many delicious twists and turns to reveal them here without spoilers. Something unexpected occurred early in the book and I was happily left playing catch up from that point.The Next Wife is one of the Amazon First Reads for April 2021 and I am happy I selected it. The plot is smooth and fast-moving, full of uncertainty, danger and suspense, the characters multi-layered and interesting if not always likeable, and everything is expertly brought together for a very satisfying conclusion. Great read. Highly recommend.",Non-stop thrills!,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,Stephanie,"Reviewed in the United States on April 5, 2021","I chose this book as my April First Reads. It was listed as a ""psychological thriller,"" which I usually enjoy. It was not at all thrilling. The characters were written as caricatures with very little nuance or depth, which is necessary for a psychological thriller to keep the reader guessing. One character was written as 100% good and the other 100% bad, so it was obvious that the script would get flipped at some point. I kept reading because I really thought there would be a bomb dropped and it would get interesting. And I...guess? there was in the epilogue, but it was not a satisfying payoff.","""Psychological thriller"" that was not the least bit thrilling",2.0 out of 5 stars,Verified Purchase
10 people found this helpful,picklenickel,"Reviewed in the United States on April 3, 2021",Boring and predictable. Writing is immature as well.,Predictable and Reinforces Old STEREOTYPES,1.0 out of 5 stars,Verified Purchase
One person found this helpful,Jayme C (Brunetteslikebookstoo),"Reviewed in the United States on April 8, 2021","3.5When I saw this offered as an AMAZON FIRST selection for APRIL, I didn’t even NEED to read the other descriptions! I loved “Best Day Ever” (5 ⭐️) and also enjoyed “The Favorite Daughter” (4 ⭐️)This one takes third place of the three, but that doesn’t mean it isn’t fun to read. It’s just a much more simplistic plot. The kind of story many of us give the popcorn bucket to.A light, entertaining book you can read in a sitting or two, but not one that will stand out from the crowd if you are a die hard thriller reader like I am!I caught a CLUE early on and predicted the outcome.Kate Nelson had it all. The husband. A beautiful daughter. And, a business that she and John built together.Until the typical mid life crisis reared its ugly head-and John divorced Kate for a woman just a few years older than his daughter Ashlyn.Tish thought she won. Until she discovered that John and Kate seemed to be growing closer again as the business celebrated its first IPO. She is not going to allow Kate to take him back.Oh John! To be loved this much...Mrs. Nelson vs. Mrs. Nelson !May the games begin!Find out which wife was victorious on May 1, 2021 unless you subscribe to Amazon Prime-members can read this one now!",Kaira writes characters you LOVE to HATE!,4.0 out of 5 stars,Verified Purchase
2 people found this helpful,billybooks,"Reviewed in the United States on April 9, 2021","Two women -- the young wife and the middle-aged ex-wife -- get into a power struggle over the same man. Complicating matters is that they are all involved with the same company. This is a fast read, somewhat entertaining, but it is full of cliches and the characters are not especially well-developed despite the fact that each one speaks in the first person. There is no surprise to the so-called twists. There's a satisfying enough ending, but you will forget this book sixty seconds after you've finished it. All in all, pretty mindless. It is the literary equivalent of a lesser LIFETIME channel movie. The author's prose style is pedestrian. Nothing special here.",Didn't you see this on LIFETIME?,2.0 out of 5 stars,Verified Purchase
4 people found this helpful,MissAyres,"Reviewed in the United States on April 6, 2021","John was the worst, so I really didn't care if he lived or not. A man in his late 40s having an affair and then marrying a girl who was recently a teenager? I could not understand how Kate, supposedly a smart and sophisticated woman, would want to get back together with a husband who left her like this. Tish might have been interesting, but she was such a stereotypical villain that I didn't care about her either.",Couldn't Finish It,2.0 out of 5 stars,Verified Purchase
3 people found this helpful,Doug Sherwood,"Reviewed in the United States on April 10, 2021","At first I thought the switching of perspective to another character in each chapter was interesting, but it got tiresome after you realize how shallow all the characters are. I really couldn't get past the main storyline of a private company going public. The author endlessly repeats IPO over and over again, but obviously doesn't understand what that means about control of a company - spoiler alert, no you can't make your spouse president of a public company by putting such nonsense in your will.",Waste of time,1.0 out of 5 stars,Verified Purchase
2 people found this helpful,Shannon Jump,"Reviewed in the United States on April 6, 2021","First things first—this cover is GORGEOUS! I will admit that I was drawn to this book because of the cover and this was my first read from Kaira Rouda.The Next Wife started off strong for me and I was fully in it, committed and ready to buckle up for the ride. But, after part 1 things went a little down hill and I found myself disengaging. I’m not sure if it was due to the lack of heroine in the story or that it started to feel repetitive at times, but I stuck with it and just had to know who the heck done it!The conclusion was clever and well plotted and I have to give kudos to Rouda for the way she pulled everything together. I had my suspicions, but was still pleasantly surprised a bit in the end.Overall, this was a good Kindle First Picks read and I look forward to checking out other works from this author.",Enjoyable read,3.0 out of 5 stars,Verified Purchase
3 people found this helpful,Kat LeJeune,"Reviewed in the United States on April 2, 2021","I got this book as a Kindle First read today and I just finished @ 23:30! I liked the revenge and mayhem. Really enjoyed the book, I am a person that was dumped because of a younger money hungry witch (for a politically correct word). It was a fun book, entertaining and took me a while to figure out that Kate was an even stronger woman than I thought. If you like to be entertained and not one of the readers that like to slice and dice a book to pieces check it out.",Zingers it is!,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,LSK,"Reviewed in the United States on April 11, 2021","I liked it at first, but then it started wheel-spinning, meaning the same things were said over and over again until I finally had to stop reading. ""I'm in control now."" Can't tell you how tired I got seeing that or some variation of it. This should have been edited to remove the repetitive parts, of which there were many. Pacing lagged and forward movement practically stalled. It got to the point where I didn't care anymore and quit.","Started out strong, then fizzled",2.0 out of 5 stars,Verified Purchase
3 people found this helpful,Yolanda F.,"Reviewed in the United States on April 6, 2021","I liked this book, it’s a quick read and I love that it kept me guessing on what was really going on.other reviews say that Tish, is obnoxious and put the book down early on because of it but I didn’t see it that way at all.I enjoyed hating on and siding with both Kate and Tish.I also like that the book spread out clues and drama throughout the book and not just packed it at the end. Kept me turning the virtual page!",Virtual Page Turner,4.0 out of 5 stars,Verified Purchase
2 people found this helpful,M. S.,"Reviewed in the United States on April 3, 2021","I really enjoyed this one. Yes, very few of the characters are really likable, and one is just about an outright monster, albeit with tiny peeks at sympathetic origins and motives. Some of the dialogue can also be a little flat in my opinion, with too much exposition given at once with too little emotion in response to what's happening. But I found the twists and turns of the plot engaging, and once I got past the first chapter or so I just couldn't stop turning the pages.I'll definitely be keeping an eye out for more from this author! Style-wise, she reminds me a bit of Olivia Goldsmith, whom you probably remember as the creator of The First Wives Club, and whose work I dearly miss. Think of that sort of scheming combined with some of the over-the-top glam of the TV show ""Dynasty"", and if that appeals, you might like this book as much as I did.",Devoured it in one sitting,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Amazon Addict,"Reviewed in the United States on April 11, 2021","I almost stopped reading around the first 1/3 of the book but ended up finishing it anyway - it was just okay. The storyline was pretty predictable. As some other reviewers said, there is a lot of “telling” versus “showing” so it just makes the book drag on and it never gets too exciting. The legal aspect of the book desperately needed some very basic research that could have helped that storyline immensely. Generally speaking, most of the storyline didn’t seem plausible. On the bright side, I learned something about cherries and will probably never order smoothies with them again!",Held my attention but missing a lot...,2.0 out of 5 stars,Verified Purchase
3 people found this helpful,Kristi R.,"Reviewed in the United States on April 6, 2021","The three women in John's life are his daughter Ashlyn, wife number one Kate, and the next wife Tish. All of these women are entangled in his life and business and none of them will back down.This novel takes each of these strong women and pits them against each other in a fight to the end. I enjoyed the different point of view from each woman.This is part of the April Kindle first program and if you are a Prime member I highly recommend you take advantage of this purchase.This story has some surprises and it will get you at the end. I loved it!",Thriller that takes you inside a marriage or maybe two.,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Leslie,"Reviewed in the United States on April 10, 2021","The reviews for the book were all over the place, but I was intrigued, and decided to read it. I read it rather quickly, and must say, I enjoyed it. The story was told from multiple POV's. Some of the characters weren't likeable. Having said that, it was interesting to see the story line unfold, as the various characters were experiencing life as they knew it. I must say there were some twists that I didn't see coming. Definitely, worth the time to read it. So glad I've been happily married for years, and never experienced any of this! 😅",4.5 for The Next Wife,4.0 out of 5 stars,Verified Purchase
2 people found this helpful,Amie G.,"Reviewed in the United States on April 3, 2021","I love a book I can't put down. And this was one of those books. Fast-paced, interesting, and fun to read. It grabbed my attention and held it until the end. Ms. Rouda writes interesting characters and weaves an intricate plot that kept me guessing until the end. I thought I had it all figured out, but oh boy was I wrong.I highly recommend this book. Excellent read.",Fantastic Book,4.0 out of 5 stars,Verified Purchase
4 people found this helpful,Victoria,"Reviewed in the United States on April 2, 2021","This is the first book I have read by this author and I wasn’t disappointed! The pacing was great, the characters deliciously broken. Very entertaining stuff.",Excellent,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,Jeniffer Nanlal,"Reviewed in the United States on April 14, 2021","While scrolling through my Kindle Fire device I saw this book and the title is what drew me to purchase it and believe me, I was not disappointed. It was one of the best book I have ever read. The style of writing was wonderfully received by me. It was as if I was inside the minds of the characters. The storyline and plot was well thought out and the author managed to skillfully portray the dramas of the antagonist growing up poor, then marrying into wealth as well as the dramas of the wealthy teenager having no clue as to what being poor is really like. I believe that the author managed to correctly portray what happens when a wealthy older man marries a woman much younger (more than twice younger) his age. This book is an excellent read, and I highly recommend it.","Read in one sitting, too interesting to put down",5.0 out of 5 stars,Verified Purchase
3 people found this helpful,Joan McKim,"Reviewed in the United States on April 5, 2021","This novel grabbed my attention from the first page. The characters are real, warts and all. The old adage about women scorned takes on new meaning in this story line.I really like the style of speaking from each character in alternating chapters. Can't wait to read another book by this author.",Just try putting this one down.,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,herb lady,"Reviewed in the United States on April 10, 2021","This book was terrible. Just stupid. The plot, the characters, everything about this book was ridiculous.",Just awful,1.0 out of 5 stars,Verified Purchase
One person found this helpful,Tricia Bartley,"Reviewed in the United States on April 6, 2021",Clutch your pearls ladies..The Next Wife is about to eff you upp!!Goodness I read this book while sitting on the edge of my seat...I had to keep reminding myself to close my mouth b4 a fly might just fly in...lmaoThis book was fan-dang-tastic and now I'm off to stalk this author...this book popped my Kaira Rouda cherry and I am in love!!! Y'all...go one click on release day and read RFN!!!,5 fan-dang-tastic STARS!!Z,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Kindle Customer,"Reviewed in the United States on April 8, 2021","This book is a great read that puts women in this situation where they should be, front and center, where no woman is a frightened mouse, and hell really hath no fury like a woman scorned. When women say they can do things just as well as men, that includes plotting and murder, and this story is full of machinations that could make any cheating husband's man's head spin like poor Regan MacNeil's in ""The Exorcist.""",You Can Never Truly Know Someone,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Eisha Smith Davis,"Reviewed in the United States on April 4, 2021","This book was way too long no wonder it was offered for free I felt like I wasted my time reading this, was like a lifetime movie gone wrong the about book was intriguing nothing like I expected at least had a nice twist at the end but jeez",Way too long,2.0 out of 5 stars,Verified Purchase
One person found this helpful,Smitty,"Reviewed in the United States on April 15, 2021","I just couldn't put this book down. The ending was s totally unexpected! Throughout the book I absolutely hated Tish. She was such a gold digger! I was so glad when Ashlyn pushed Tish down the stairs. I figured Tish was going to do that to Kate! However, at the end of the story I truly felt sorry for Tish. She was helpless in that hospital roomand she was truly alone. She had a terrible childhood and absolutely no friends. I don't think she knew how to trust anyone enough to really make friends. Then to find out it was Kate who actually slowly killed her husband, I just didn't see hat coming. Wow, what a story!",Fantastic read.,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Hobson,"Reviewed in the United States on April 2, 2021","Kaira Rouda is a master of trendy, compelling characters and strong, sharp-witted women in particular.Hapless John, cool and poised Kate, conniving and jealous Tish comprise a classic love triangle set against the backdrop of EventCo - a successful and thriving family company on the brink of major change. While John tries to steer his company through the turbulence of going public, the tension escalates between polished and accomplished Kate and the ever unraveling Tish. Meanwhile, daughter Ashlyn has plans of her own! The dichotomy between first wife/second wife never gets old and The Next Wife is a fast-paced, fun, and satisfying tale from beginning to end.",Wickedly satisfying!,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,L Berry,"Reviewed in the United States on April 5, 2021",Quick read and clever story but plot is similar to other stories I’ve read. Even though the story was familiar I still was interested enough to read to the end of the story.,Clever story but familiar plot,3.0 out of 5 stars,Verified Purchase
4 people found this helpful,CityReader,"Reviewed in the United States on April 2, 2021","Another winner from Kaira Rouda. Starts strong, stays strong. Lots of twists and turns and humor, too. Characters you love to hate. Surprises at the end. Just fabulous.",Wow! Just WOW!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Anne L. Foster,"Reviewed in the United States on April 13, 2021","This was a fun romp through the lives of Kate (the first wife) and Tish (the next) trophy wife and much younger woman. It's a battle through corporate America as Kate and Tish battle over the company Kate and her husband founded. Throw in Kate's college-aged daughter who used to be friends with Tish but of course loves her mother...and when tragedy strikes, everything blows up. But there are some great twists at the end that will leave you breathless and satisfied. Will certainly be reading more of Rouda's work!",Great read!,4.0 out of 5 stars,Verified Purchase
3 people found this helpful,Fred K+10,"Reviewed in the United States on April 14, 2021",This book has more twists and turns than the road to the top of Pikes Peak. It took a little time to getting use to the change of each chapter changing to a new first person dialog. But in this case I think it is a good presentation of the story. Again with the twist there is no way to predict the story ending. ENJOY!,One crazy story!,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,NCSoccerMom,"Reviewed in the United States on April 5, 2021","Loved the suspense. The characters are very easy to relate with. Character development was A+Storyline is excellent.Moves at such a rapid pace, I stayed up late and got up very early to finish.Reminds me of some of the old Mary Higgins Clarks and dramatic suspense I read years ago.",What a great read!,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,Astrida M,"Reviewed in the United States on April 7, 2021","My first book by Kaira Ronda and I enjoyed it! Being stuck at home for over a year because of Covid, I enjoyed reading about the first wife vs the second wife. A little excitement and a few bad deeds added some spice to my life. A fun, suspenseful thriller with a twisty ending. I recommend it.",THE NEXT WIFE,4.0 out of 5 stars,Verified Purchase
2 people found this helpful,Jan,"Reviewed in the United States on April 13, 2021","Me. Ronda has done a masterful job of linking the reader to each character. My heart went out to the first wife, Kate. She was truly a victim of her husband's affair and 2nd marriage to a woman only a few years older than their daughter. Her rage becomes increasingly obvious as the story progresses. Her daughter's heart was broken, of course. How did it affect her? We're there ANY redeeming qualities in Tish, the second wife? Read this book. You will not want to put it down.",Definitely a FIVE STAR novel!!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Fog,"Reviewed in the United States on April 11, 2021","I enjoyed “The Next Wife” very much. The story is told from several viewpoints. I was fascinated by this switching from character to character as each told their version of what’s happening. There are some very interesting facts that emerge as each character relates their actions. Read the book to find them; you’ll enjoy them just as I did. And I did not see these revelations coming. Now I must read some more of the author’s novels. Thank you, Kaira, for the good read.",Very satisfying twists,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,Cat,"Reviewed in the United States on April 14, 2021","Finally, a book with no spelling or grammar errors. Not only that, it was riveting! I won't put in any spoilers, just suffice it to say, I enjoyed this book very much & couldn't read it fast enough. I've already bought more of Kaira Rouda's books. It's been a loooong time since I've enjoyed a book this much.",So good!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Kindle Customer,"Reviewed in the United States on April 13, 2021","What a wild ride, from the beginning, the writer pulls you in and around every corner is another twist. Midway through the book, it began to drag a little but, but don't put it down, the story licks up and once again you are drawn into the deceit and lies from everyone. The end is incredible and it left me with a thought about my first wife. I'll be looking out for her from now on. and at the same time watching my second wife too!",Incredible!,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Kindle Customer,"Reviewed in the United States on April 4, 2021","This is my first book by Laura Rouda, and I am looking forward to reading more as they become available.",The Next Wife,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,NicoleRose,"Reviewed in the United States on April 6, 2021","This book kept me reading all day until I was done. Chapters are well written and I really enjoyed the different angles the story was told from. I definitely didn't expect the ending! Definitely recommend to anyone looking for drama, suspense, and an unexpected twist.",So many emotions and crazy ending!,5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Andrea P. Katz,"Reviewed in the United States on April 1, 2021",Rouda wrote an absolutely brilliant domestic suspense book. The Next Wife is exactly what you would expect- young and hot. But don't write off the First Wife.A roller coaster of a great read!I received an advance copy.,What an Amazing Ride of A Book!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Cyndi Bailey,"Reviewed in the United States on April 11, 2021",Probably one of the worst books Imhabe read in a long time. No creativity in characters and jumping all around from so people’s prospectives is just a mess. Don’t waste your time.,Predictably horrible,1.0 out of 5 stars,Verified Purchase
