postDate,helpful,reviewBody,starRating,verifiedPurchase,reviewTitle,name
"Reviewed in the United States on January 8, 2020",50 people found this helpful,"I love the product been working perfectly since the day I bought it. I bought this specifically for my Nintendo Switch. I previously had the 512GB Micro SD Card but quickly ran that up, so finally this card went on a discount and I was able to buy it!!!Am glad I did I finally have ALL my games on my system, no more having to delete a few here and there to make room for the next game, finally I can just sit back and Buy/Download just about anything I can get, worry free of weather or not I have enough space!!!!After the format I believe I was left with around 953GB and as of now am left with 75.8GB TOTAL left (Including System Memory), which is still very good at least to me since most games are 2 to 8 sometimes 12GB depending on the game.Anyway I have a total of 176 Games the range from huge AAA games to small Nindies (Nintendo Indies) games as well, and again am very happy with my purchase. Also you can see my current inventory of games in the pictures for better idea of what games",5.0 out of 5 stars,Verified Purchase,Working fantastically for Nintendo Switch!!!,The Dukes Brew
"Reviewed in the United States on June 9, 2019",52 people found this helpful,"The Nintendo Switch is incapable of utilizing this SD card to its full capacity. It only supports U1 speeds, and the recent Digital Foundry investigation into the Switch's loading speeds revealed that using this card instead of a U1 rated one would actually hinder loading speeds, at least while playing Zelda. I say this to tell users that this card is overkill if that's what you're buying it for, and you're better off going for a slower one that the Switch was actually designed to use.This is not the fault of anyone, just wanted to help people become more aware of it.Besides that, the packaging was really nice and well done. The card achieves its rated speeds after testing it using my computer. If you are looking at this for an expensive camera capable of utilizing it properly, look no further.",5.0 out of 5 stars,Verified Purchase,"Very fast, but look elsewhere if buying for a Nintendo Switch.",Julio C.
"Reviewed in the United States on April 25, 2019",49 people found this helpful,"When I first reviewed this card I assumed I had received a fake or defective card, because the performance it delivered was SLOWER than my older SanDisk A1 rated micro SD cards. However, that doesn't seem to be the case...Further research in collaboration with others seems to have unlocked a dirty little secret about these new A2 rated cards. They are actually SLOWER than A1 cards unless you have an A2 certified device, and there are almost none of those available at this time.SanDisk won't openly admit this when contacted about the less than stellar performance, but they keep pushing you to buy their specific Mobilemate USB 3.0 card reader, which may be the only (or at least one of the very few) A2 certified devices available at the time of this review.Now to be clear I wasn't expecting the maximum advertised performance. Even though my A1 rated SanDisk cards all met or exceeded their advertised specs, I was pretty sure that A2 cards would require newer hardware to achieve their lofty numbers, but I was expecting them to exceed the performance of the much less expensive A1 cards. They do not! While they are faster than your typical Class-10 card, they are slower than A1 rated cards, and that's something you won't find in any documentation.The only test that was faster on this A2 card was sequential write, and since I was comparing an ""Extreme"" to an ""Ultra"" card, that was to be expected. In every other performance category the A1 card was faster. Multiple tests were run on multiple devices, and while the numbers varied between devices, the results were consistent. Sequential read and both read and write IOPS were 10-15% faster on the A1 card, and IOPS is the main reason you'd even want an A2 card!If you are upgrading from a regular Class-10 card this will be much faster, but so will a less expensive A1 card, and you probably won't notice the difference, so why spend more?If your intended device isn't ""A2"" certified, buyer beware.",2.0 out of 5 stars,Verified Purchase,Dirty little secret about A2 cards,TinyZombie
"Reviewed in the United States on January 18, 2019",58 people found this helpful,"Unfortunately as some other reviewers have noted, this is most likely a fake :(I bought this for a dashcam.Even though it costs more than for example the Ultra, the dependability would be worth it...That is, IF this truly were a Sandisk Extreme.After inserting the card into the dashcam, and formatting it, everything worked fine for 2 days. Then on the 3rd, suddenly during a drive, an error message popped up stating memory card corrupt!The dashcam would no longer record, and even powering it down and powering up again would not make it continue, the error message kept popping up.I’ve not had this error pop up before with 3 other cards I’ve used (from various brands).Formatting the card again allowed the dashcam to operate again, but most likely it will fail again.Guess I’ll need to go to a brick&mortar for the genuine stuff.",1.0 out of 5 stars,Verified Purchase,Corrupted after 12GB of data written :(,Just another Amzn customer
"Reviewed in the United States on December 7, 2018",63 people found this helpful,It's fake don't buy it,1.0 out of 5 stars,Verified Purchase,Fake,MITKO
"Reviewed in the United States on January 11, 2019",47 people found this helpful,"I like their ssd/usb drives, but this failed on 3rd use/mount.it would not read any of the 6 or so microsd I had on hand.at first I thought it was my computer port, tried several.then thought it was the computer/os, tried several in the house.brought out an older 5-in1 it worked fine in all locations and microsd.I can not recommend this reader and have bought another about the same size.Since I experienced this unexpected failure from this sandisk product, I've been using the following to test this new reader/adapter/microsd I've been putting it through some constant read/writes for the last hour and this off brand has been working great.btw the test I'm using is: sudo e2fsck -cc -C 0 /dev/sdd1via usb 3.0 port on my desktop.",1.0 out of 5 stars,Verified Purchase,failed on 3rd use/mount,tom
"Reviewed in the United States on January 4, 2019",49 people found this helpful,"Its some other product with Sandisk sticker on it, its clearly a counterfeit.",1.0 out of 5 stars,Verified Purchase,Its counterfeit product,Mak10
"Reviewed in the United States on March 25, 2019",36 people found this helpful,I fly drones and require quality cards with good write speeds. I thought this one looked good. Worked on my first two flights. 4K video records in blocks of a little more than 4 gigs. Over 4 gigs the camera will start recording a new block. When my camera went to record the third block of video the card failed to write fast enough. That caused the camera to restart it's self and stop recording leaving a large gap in my recording. This is common with inferior and counterfeit SD cards. I returned it. It looked legit but didn't behave legit. Avoid this one.,1.0 out of 5 stars,Verified Purchase,Bad experiance with this card,Amazon Customer
"Reviewed in the United States on March 11, 2019",28 people found this helpful,"Summary - 1kB sustained: 10 MB/sec - 4kB sustained: 12MB/sec - 1MB burst: 22MB/sec - 1MB sustained: 13MB/secWhenever new large capacity cards are released on the market, I am always concerned with scammers taking advantage of people and slapping a label on a smaller card. When I received it, I tested the card with a simple script that create 360 1GB files in 1kB blocks, like so:`for i in $( seq 1 360 ) ; do dd if=/dev/zero of=sd-text-${i} count=1048576 bs=1024 ; done`One of the main thing I'm testing for is insuring that the card isn't 128GB ro 256GB in this case, because very few people will actually take the time to do so, stick the card in their phone/camera/game console and find out they run out of space early than expected when it's too late.I'm happy to report that though it took a really long time, the card has now 386 GB of test data.It wrote at 10.468 MB/s on average with a standard deviation of 1.166 MB/s.This is a known torture test because small blocks challenge the way the underlying flash is organized.A more realistic test would be to write in 1MB blocks in bursts of about 20MB which most cameras do for example (they typically buffer up and then dump their buffer to the SD card, which why for example burst photos are faster in the first second or so)This test yielded a speed of 22.641MB/secI hope this helps",4.0 out of 5 stars,Verified Purchase,"My copy was the actual thing, full 400GB capacity, 22MB/s bursts, 10.5MB/s sustained",arnaud lacour
"Reviewed in the United States on February 19, 2019",27 people found this helpful,"I got this card for my galaxy S9. It had a very good chip installed in it before (Samsung 256G Evo Select) which I liked. But I wanted to max out my S9 both in its 400G max capacity and in the speed to record. This chip/card does record 1080p 60fps with no problems at all. It also does 4k video well. (I tested it in one of my cameras.)The only place it fails is when I'm doing rapid burst pictures in my phone. The camera says it can't do rapid burst when using an external card and switches burst control over to internal memory automatically. But to be fair the Samsung chip I had did that too. So apparently it's something built into the camera app or S9 hardware path that just assumes no external chip can do it, even though both the original Samsung 256G and this even higher spec Sandisk 400G are top of the line spec wise. Not really a problem for me as I don't generally take bursts of photos but mentioned it here in case you do. Frankly, if I needed that, I would get an SLR camera instead of using my phone.When I tried this memory in my Sony video camera, (which is only supposed to support 256G), it saw all 400G and it worked flawlessly and I filled it with combinations of pictures and videos.I also tested this card as an external chip in a USB 3.1 adapter with my computer. It showed 155MB/s read and 88MB/s write at 64k transfer sizes for a duration of its entire 400G. That's close enough to its listed max speed and I'm happy with that. Now you need to understand, that's testing with all conditions being nearly perfect for this chip. It's highly unlikely to perform that good in the real world moving your data around. I noticed that if you go below 64k file transfer sizes or don't use high speed ports like USB 3, you see much less speed. Most newer cameras and phones will best utilize the higher speeds. But if you use this card with older SD adapters or USB 2.x or computer SD card readers you'll be disappointed with any fast SD memory card. ALL the pathways through adapters and ports and cables and hardware have to support the higher speeds or testing will just show you the top speed of the weakest link in your data pathway.But let me tell you this card is amazingly fast to copy files to or from if you have the proper equipment to support it!When I got this chip, I first removed my Samsung 256G and installed this card instead (blank). Although it showed up right away as 400G in the S9 phone, I had the phone reformat it anyway as I just like to be sure its setup by the particular device before testing.I then used a USB3.1 adapter to plug the phone into a USB3.1 port on my computer. I already had done driver setups for this phone before.I decided to fill the 400G card with music videos and some personal videos and my docs and my sound files and music. I setup a single copy from the PC to phone external memory of about 340G. (The card actually formats to 367 computer G even though that's 400G of real memory.) Last time I did 256G like this, it took me few hours to complete. So I started the copy to the phone and walked away thinking I'd come back in several hours or if I heard an error beep. I did notice it was copying files fast.After about an hour and 15 minutes, I heard a bleep from the computer saying it was done. I was a bit frustrated because I thought I was hearing an error beep. So I began to check where in the copy had died. What I discovered was, it really had copied all 340G in 1.25 hours! I couldn't believe it and rechecked to see all the files were indeed there! That's including almost 200,000 photo files that usually slow down backups or restorals to a crawl. Never had a write of major data speeds be so fast!So in case you can't tell by now, I love this card in my Galaxy S9 phone. I was happy with the Samsung 256G memory card but thrilled even more by this Sandisk 400G upgrade in speed and storage size. Granted, I have 6TB of media storage alone on my PC that I'll never get all of on a phone. But now, thanks to this card, I've got all my docs, sound files, music videos, and unwatched videos ready to watch on the phone. Couldn't be much happier with this Sandisk 400G Extreme microSD card.One thing you should be aware of though is you will definitely use your device battery up quicker with this card installed. It sucks my Samsung Galaxy S9+ battery down about 40% faster the the 64G internal memory by itself. But even then, it still stays up most of the day and night before charging. Of course if you do a lot of copying or moving files, it's likely to last slightly less without recharging.Update December 2020:This card is still working great for me and it was transfered to my new LG Wing phone. This card is used heavily and still going almost 2 years later. Was a very good buy!",5.0 out of 5 stars,Verified Purchase,Worked perfect in my Galaxy S9 plus and now my LG Wing.,3D Print Wrangler
"Reviewed in the United States on December 31, 2018",36 people found this helpful,"it works for my gopro blk 7 but thought it said it wrote to faster mmm , im only writing file to it at 28mbps half of what is advertised, amazon choice but worried if this is a fake and may fail? wish they just said what it actually does then i wouldn't worry its fake or not.",1.0 out of 5 stars,Verified Purchase,write to 28mbps,Hoscap
"Reviewed in the United States on March 10, 2019",31 people found this helpful,"I used the 64gb, actually, i bought the 64gb for my gopro 7 silver. It kept rebooting and rebooting and kept wondering why it was doing that. I took the card out and replaced it with a new one. the old card took and the one i bought from this user doesn't work by any means. be aware when you buy this. bad purchase.",1.0 out of 5 stars,Verified Purchase,These are fake,GenVicious
"Reviewed in the United States on July 20, 2019",22 people found this helpful,"First thing I did after getting it out of the package was stick it in the included adapter so I could connect it to my computer and start transferring files to it; big mistake. It transferred fine, and relatively quickly; the issue was I couldn't get it out of the adapter. After damaging the paint job trying to get it out with my fingernail, I had to destroy the adapter with a pair of tweezers in order to get the microsd card out; thankfully the damage to the card itself seems to be just cosmetic, but for $340 I expected better. Just throwaway the included adapter as soon as you open the packaging, and use something else; I realize I probably just got unlucky with the QC, but at this price point it's not worth the risk.",1.0 out of 5 stars,Verified Purchase,Do not use the included adaptor!,Sheila Criscione
"Reviewed in the United States on February 11, 2019",26 people found this helpful,"I bought just the card reader (why are these reviews mixed for the reader and the cards???) and it was DOA. I thought I'd spring for the Sandisk instead of the cheaper ones so it would be reliable, but no dice... tried with both Windows and Mac, and with two different known-good cards (brand new samsung and older sandisk). They don't even show up in System Profiler, so there's likely not even power getting to the card.",1.0 out of 5 stars,Verified Purchase,reader DOA,Peter M. Jaques
"Reviewed in the United States on October 19, 2018",28 people found this helpful,"I purchased 4 of these to use in my GoPro Fusion and GoPro7 cameras, and I couldn't be happier. Not to mention that the price was right!!",5.0 out of 5 stars,Verified Purchase,Excellent Purchase!  Perfect for use in any GoPro device,Alberto Rivera
"Reviewed in the United States on December 17, 2018",21 people found this helpful,"The reviews for the 3.0 card reader and the actual microSD card seemed to be mixed up. I also have the microsd card and it works fine in my DJI Osmo Pocket. No read errors or storage problems. Just be aware that the Reader does not have a ""push to remove"" feature. Also the design for the reader has a small curved bulge that covers one side of the protruding end of the microsd card. Wow, that last sentence confused even me. What it means is that you can't hold both sides of the card to pull it out, so you'll need tweezers.",3.0 out of 5 stars,Verified Purchase,Review for MobileMate USB 3.0 Reader only,Sacratomato
"Reviewed in the United States on June 30, 2020",12 people found this helpful,"Do NOT solely judge this card off the speed tests (CrystalDiskMark) for example.The reason being is that it also depends on your card READER!! Yes, you could have a legit card, which i do, but can get 30 MB/s read / write speed, or even 80-90 MB/s. That's exactly what happened to me when i tested mine to see if it was legit.Testing the speed to see if it is legit is certainly something you should do, but be AWARE that you need to have a card reader that can ALSO reach those speeds. When I first put this in a crappy USB SD card dongle that I had sitting on my desk, I only reached 30 MB/s for both read / write. When I put it in my laptop (which has a nice built in card reader) it only reached 80-90MB/s. It wasn't until i used the SanDisk USB mate drive that can be packaged with this card (or bought separately) that I achieved the 169/105 speeds.Please don't immediately assume you have been ripped off with a fake when you get the lower speeds.",5.0 out of 5 stars,Verified Purchase,If you're worried about whether or not you have a fake...,Brian
"Reviewed in the United States on January 6, 2019",20 people found this helpful,"Just got the card this morning. Speed almost matches or slightly exceeded the rated speed on matching USB reader from SanDisk: 160MB/s+ read, 95MB/s+ write. Performed very decent on built-in SD Slot: 90MB/s+ read/write). Both results from the same laptop: Macbook Pro Late 2013, 2.4GHz Intel i5, 8GB RAM, USB 3.0.I copied over 120GB of data from another card (with dd between two /dev/rdiskx). It sustained 49MBps+ for the *entire* write. The speed was probably limited by the source SD Card.I was running Windows 10 on VirtualBox using the SD as the RAW disk. Windows 10 is fast enough to be usable. (Samsung EVO Pro Endurance was way too slow to be usable, in comparison.)",5.0 out of 5 stars,Verified Purchase,"Real deal, v fast, almost matched or slightly exceeded the advertised speed (160Mb/s+ r, 95Mb/s+ w)",Thomas L
"Reviewed in the United States on October 25, 2018",19 people found this helpful,"I was very suspicious of this being a legitimate SanDisk 256GB Mirco SD when ordering it given all the counterfeits on the market right now. When it arrived I spent a lot of time just examining the packaging before opening it. There's great info on Youtube on how to spot fakes. Having determined the packaging was genuine I took the card out and tested it with an app ""AI SD Bench"" on my Samsung S8 Active. Results: Read: 73.19 Write: 53.05, Storage Capacity: 244 GB, certainly not the performance labeled by the manufacturer on the packaging but realistically ideal for my purpose.",5.0 out of 5 stars,Verified Purchase,A Legitimate Micro SD Card,T. Trefz
"Reviewed in the United States on December 8, 2019",14 people found this helpful,"The SanDisk MobileMate USB 3.0 microSD Card Reader - SDDR-B531-GN6NN does not work reliably. The SanDisk MobileMate USB 3.0 struggles to work reliably with 1 GB to 256 GB cards and larger. The SanDisk MobileMate USB 3.0, about 50% of the time, will not show up in the system at all. About 25% of the time, the SanDisk MobileMate USB 3.0 will only show up after several minutes. About 25% of the time, the SanDisk MobileMate USB 3.0 does appear in the system and it either shows the appropriate micro SD card and the cards information, or it shows up with a message ""Please insert media into drive F"".The SanDisk MobileMate USB 3.0 issues occur on SanDisk micro SDXC A1 cards and Samsung EVO micro SDXC U3 Class 10 cards. Theses issues occur on all our separate computers, on all USB-A port locations, on all USB-A port version from USB 2.0 to USB 3.1, and on all operating systems - Windows 7, Windows 8.1, Windows 10, Linux Mint 19.2, OTG Android 6.1, and OTG Android 9.We know the issues are with the SanDisk MobileMate USB 3.0 and not the micro SD cards. All our micro SD cards work flawlessly in other USB-A, OTG, and other SD card Adapters on all operating systems and devices.We cannot recommend the SanDisk MobileMate USB 3.0 considering our experience with it.",1.0 out of 5 stars,Verified Purchase,Frustrating waste of money - Does not work reliably,Paul
"Reviewed in the United States on December 21, 2018",23 people found this helpful,I inserted a microsd card into the slot and inserted this card reader into usb in my mac computer and it did not work. It also does not work on a windows. On mac nothing happens and on windows it loads for forever. It only has photos and a couple of very short videos on it.I was using a kingston 32GB microSD HC card that was formatted and used in a windows phone.,1.0 out of 5 stars,Verified Purchase,Did not work,Amazon Customer
"Reviewed in the United States on December 30, 2018",16 people found this helpful,"This is like putting an SSD on your Raspberry PI 3/3+ or similar embedded device. Read IO's 2500/second- will saturate the SD Card interface of any device it is put in. Make sure, though, that your device is capable of that many IOPs in order to take advantage of it. Some devices aren't that robust- so an A1 or even just an ordinary card will do.Cameras are iffy for an A2 rated card. Smartphones, tablets, embedded computers, however...are quite capable of using it to the fullest possible. You should know a bit of something of what your device is capable before buying this class of part, expecting amazing things out of it. It's an, ""It depends..."" type thing. My application is thoroughly unleashed. My phone was. My tablet was.",5.0 out of 5 stars,Verified Purchase,A2 Rated Card...worth every penny of the price,Mad Scientist
"Reviewed in the United States on December 5, 2018",15 people found this helpful,"I recently installed a 500GB Samsung 860 Evo so I could keep all my pics and music on my laptop, which I had stored on this to make the cloning process faster and because I wanted and independent backup. My 128GB chip sustained a read rate of ~ 140MBs for about 5 minutes restoring my 5MB average music files to my SSD.This is a MUCH more flexible way to buy external memory than dedicated USB drives as you can swap the chips out, tape them to a 3x5"" card with comments, and put your backups in a card box. You also only pay for the memory, and have all different size choices, so you're not always stuck with an inappropriately sized external drive.Using this combo was a revelation.",5.0 out of 5 stars,Verified Purchase,"Forget USB Drives, buy This Instead",KOI
"Reviewed in the United States on April 9, 2019",18 people found this helpful,"The price is not just too good to be true. After speed testing this item and receiving write/read speeds substantially below what was advertised, I was skeptical that this was a counterfeit. I called SanDisk and explained what the product looked like and how it performed. They in fact confirmed this as a counterfeit alone on the design of the back of the microsd. This product didn't match their genuine product at all. Don't trust this product with your valuable footage or files while operating your camera, drones, storing files, etc.",1.0 out of 5 stars,Verified Purchase,Buyer Beware - Not a Genuine Product,Semir Ibrahimovic
"Reviewed in the United States on December 30, 2019",8 people found this helpful,"I got this for my Nintendo Switch.Nintendo must have had a busy few days the day I got this and started redownloading my archived games and whatnot onto it because the downloads were super, super slow and frequently crashed. I was afraid it was the card malfunctioning.However, a week after finally getting all my games redownloaded and whatnot, everything is running spectacularly, even better than with the smaller capacity SD card I had in the console before.Honestly, when I first got my Switch I didn't think I'd need a large capacity SD card... I was proven wrong in a year. So, I got this and if I ever do fill it to capacity... well I'll be d*mned.",5.0 out of 5 stars,Verified Purchase,For the Switch,DeNadaAqui404
