helpful,name,postDate,reviewBody,reviewTitle,starRating,verifiedPurchase
2 people found this helpful,WX,"Reviewed in the United States on December 4, 2018","I guess most of buyers like me, just clicked on the best seller when they purchased a new lens without thinking.I cannot say this is a totally useless product, it is a piece of good quality glass, it is like a lens cap, nothing more. However, generally most people would like their UV filter to have anti-glare coating to reduce the ghost effect.Most users would expect their UV filter to be on their lens unless they really want high quality image. However, for this one, you should do the contrary: don't put this on, unless you feel you really need it. (Like shooting in moisture, with lots of water or sands, facing curious babies or animals)Conclusion:If you just want a normal UV filter, don't waste your money and time in this.Buy this if you either don't care about image quality at all or you just want it in case of some special situations.",This UV has no coating! Don't buy it if you want your image quality unaffected,2.0 out of 5 stars,Verified Purchase
199 people found this helpful,Texas Ozy,"Reviewed in the United States on April 27, 2013","I used to use this filter and found this is quite bad, bad flare and ghost, better not use it to shoot clear picture.I put this on Canon EF 50mm F1.4 USM. I know this lens won't be sharp picture when wide open aperture but whenput this tiffin filter, focus won't be clear anymore. It's just killing your lens, camera and precious time and memory.I recently purchased HOYA filter which is a few $ more expensive than this tiffin filter in Amazon however, that ismuch worth to pay. Look at the picture, I believe no word needed to tell the difference.Tiffin, it's just a plain glass or rather low quality plain glass. If you are beginner but becoming serious about photo shootingand already spending much for lens and camera, why not spend a few $ more.",Best seller? maybe the best waste. Pay a few $ more.,1.0 out of 5 stars,Verified Purchase
2 people found this helpful,Vivman,"Reviewed in the United States on December 10, 2018","I've been a photographer for more decades than I care to fess up to. Unless investing in polarizers or ND filters, I see little benefit in spending considerably more than for the quality and value you get with Tiffen UV filters. The lens coatings are more important to your image than the UV; which is essentially there to protect the outer element.I have purchased dozens of Tiffen UV filters, and this particular size is mated to my m43 primes. Love them and always recommend.","Clean glass and durable.  Oh, and super affordable.",5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Joe,"Reviewed in the United States on December 5, 2019","I used a UV LED and UV ink to test if it can block UV light and as shown in the photo, it does not. It’s just glass. Don’t trust this to protect your lens, sensor or film shot.**edited**As other reviewers mentioned, there is ghosting or light refraction from the filter. The light from a lamp or the sun refracts the light into two different points into the sensor causing a faded image of the light source.More reasons to give this 1 star.Make it absorb or reflect UV light and fix the light refraction to give it 5 stars.",Doesn’t work,1.0 out of 5 stars,Verified Purchase
6 people found this helpful,S J,"Reviewed in the United States on May 4, 2016","This Lens filter comes with a strong glass and provides a good protection to the front element against dust, finger prints and minor usage marks. A simple and cheap way to protect your lens.But on the other side, it impacts the image quality. As soon as the light goes down the filter starts ruining photos. I was getting great results during normal lighting condition but at night when the lights are low I was seeing lot of ghosting and flaring in the images. Initially I thought there is something wrong with my camera ISO or my lens which is causing bad low light images. I tried few things and realized that the filter is impacting the image quality so I removed the filter and my pictures were much better in low light conditions.Now I only use it when I feel that there is chance that my lens may get damaged otherwise I do not use it. If there are normal lighting conditions, I may leave it on the lens but its a NO for low light pics.",Overall good lens protection but impact on images!!,3.0 out of 5 stars,Verified Purchase
3 people found this helpful,Terry Parris,"Reviewed in the United States on February 28, 2021","I've used Tiffen filters before in the past when I was once in 35mm film photography. For the price, the quality can't be beat. I chose this filter from past experience with a Tiffen polarizer filter. I see the quality hasn't changed.The filter came to me almost over protected. I was use to the usual manufacturer's case. Amazon did a wonderful job making sure this glass filter came to me undamaged not once but twice.That's correct. Twice. Not exactly sure what happened the first time, but they sent the wrong size. After notification, they immediately shipped the correct size again, over protected.It was my first time having to return something from Amazon this time. Amazon here in South Carolina uses Kohl's for returns. Not sure what they use anywhere else. My experience with returning the wrong item was very pleasant and rather we quick. Just remember to have the QR code for the return handy on your smart phone. If you do this, most returns are pleasant and fast. Took me at most 5 minutes to return the wrong sized filter. I spent more time waiting for two other Amazon returns from other customers than I did returning the item I had to return.",Tiffen quality as always.,5.0 out of 5 stars,Verified Purchase
4 people found this helpful,BrotherKehn,"Reviewed in the United States on August 21, 2017","I bought this to protect my Sony 50mm 1.8 prime lens. It's done a great job in protection, deflecting some light and dust or rain. I'm normally a landscape photographer but, I am passionate in taking portraits of others. I'd list my pro's and con's below.PROs:- Keeps lens glass clean. (Prevents dust, some rain and other dirt from touching the glass)- Protects the lens glass- Twists in easily and quickCONs:- Depending by the threading on your lenses, it could get stuck- Hard to remove sometimes but, only if you do plan to remove it a lot- Some light reflects from it and you capture it when you take your shot. Summing up:Overall, this UV protection filter does the job great. It does what all over well from what's in its description of the item. Just be aware of the light hitting the filter, try having a Lens hood on to block which ever light is causing bad light leaks or reflections on your shot.","Good Overall Filter, Use a Lens Hood to Deflect Light Reflection",4.0 out of 5 stars,Verified Purchase
4 people found this helpful,iQUISMO,"Reviewed in the United States on December 4, 2016","I had this filter on my Canon 24mm & 40mm 2.8 prime lenses for a little over a month now. I used it during a trip and family functions, primarily shooting in broad daylight without any noticeable degradation to image quality.It wasn't until the holiday season rolled around and I started shooting with Christmas tree lights and LED string lights everywhere that I saw ghosting/reflections in many of my images. I didn't catch them on my camera LCD until I viewed the files on my computer and phone where I was able to zoom in. What I initially thought were beautiful holiday pictures, are now unusable due to this filter.If you shoot with this filter, you risk your image quality, especially at night with bright sources of light.",Ghosting/reflections caused by this filter,2.0 out of 5 stars,Verified Purchase
2 people found this helpful,Dale,"Reviewed in the United States on May 7, 2017","This may help with UV effect reduction but at the cost of loosing 8% of the light your camera will receive.Had I realized they were not coated, I would not have bough these.A good broadband Anti Reflection coating will pass 99.4% minus any absorption within the glass itself.Spend the extra $7-10 and get an AR coated UV Filter.",Willing to loose 8% of your light?,2.0 out of 5 stars,Verified Purchase
2 people found this helpful,A real person reviewing things,"Reviewed in the United States on February 19, 2020","Honestly, I was really afraid of buying this because it wasn’t considered “Pro Level.” I have a Sony A7R2 paired with a 24-70 f2.8 GM and I was completely surprised and impressed with the quality of this. I’ve heard people say that that I shouldn’t use low quality glass on high quality lenses because it lowers the picture resolution.This wasn’t the case.I did a comparison with 2 shots (with and without the filter) both with the same settings.I CANNOT TELL THE DIFFERENCE.I compared it with a B+W 82mm PRO XS filter and the same applied. Literally the same image. I zoomed to 100% and the details are still very crispy. Colors are true and the image resolution is as if there was nothing in front.Save yourself some money and buy this. I highly highly recommend.",Impressed and surprised. This is Pro Level Glass.,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Poc Network // Tech,"Reviewed in the United States on January 28, 2019","We find ourselves using these to protect lenses more than anything else. From dust and scratches and all of that fun stuff. Sure, it acts as a UV lens, but you don't always notice any difference. What we DO notice is the fact that it doesn't really affect the image we are taking. Some of these UV lenses can do more harm than good when it comes to color and other variables of detail. However, we almost never find ourselves removing one of these from a lens. So in the end, they work great for a set and forget solution for protecting your lens with.",A great solution to protect you lens with,5.0 out of 5 stars,Verified Purchase
One person found this helpful,"The Law Offices Of Healthcare Legal Resources Network, LLC","Reviewed in the United States on July 14, 2020","Amazon dropped the ball on this one. This Tiffen UV filter was dirty right out of its case. It had debris on both sides of the filter, streaks and a finger print on the side of the lens away from the camera body, which clearly notes that it was previously used.I would have sent it back, but we have a 34-night cruise around the Mediterranean in two days, and I will simply not take the risk of travel without this protective filter.I think that Amazon should send another filter, free of charge, to compensate us for having to clean the filter.The Law Offices Of Healthcare Legal Resources Network, LLC",Received Dirty. Obviously Used.,1.0 out of 5 stars,Verified Purchase
One person found this helpful,Bbm152,"Reviewed in the United States on February 2, 2019","I just bought a new $900 lens and got this filter to go along with it on a whim. THANK GOODNESS I did because my 2 year old decided she wanted to take a picture and dropped my camera directly on my brand new lens. The filter shattered, but it kept my lens safe and in perfect condition. It did get jammed on, though. I had to very carefully shatter the rest of the glass, remove it, then get some pliers and work to get the frame of the filter off of the lens. That same night I ordered another filter to go on my lens and an extra for my bag. I won’t go without these now!!",Protect your investment!!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,MOBY,"Reviewed in the United States on December 8, 2020","It is for my 24-70II , my old one was 72mm...I couldn't say this is great filter, cause I didn't testing filter on and off, but for protecting /avoid dust and liquid for my lens ,it's enough. My friend spend $160 for protecting filter......that's too expensive .I took better images than him ,that's enough ~hahah",Good for my 24-70II,3.0 out of 5 stars,Verified Purchase
2 people found this helpful,Storm Tracker 440,"Reviewed in the United States on October 11, 2020","Not sure if it really improves my photo qualities since I use these UV filters on all 4 of my digital cameras, but they seem to provide protection from the actual camera lens from whatever. However, you will have to clean off the lens filter now instead of the lens itself. Oh well, it's easy to install, as long you get the right lens thread size in mm's for your camera and if you do that, you'll have no issues to screw on the new lens filter to that digital super zoom point & shoot digital camera, DSLR digital camera or even non-digital SLR camera. 5 stars.",Good lens protection,5.0 out of 5 stars,Verified Purchase
5 people found this helpful,P. Lee,"Reviewed in the United States on November 28, 2019","I ordered two filters, 52mm and 58mm, and a 50mm lens.I received all three together in only a few days. The 50mm lens looks good, but both filters were not so. The case boxes of both filters were damaged and dirty with taped marks and glue, but the filters inside the case boxes seem in okay conditon. However, I could not tell whether the filters are new ones or used ones.I will try it out later to see how good these filters are.",Receiced damaged and dirty case boxes of the filters,1.0 out of 5 stars,Verified Purchase
3 people found this helpful,Wayne P.,"Reviewed in the United States on February 15, 2020","This filter fit my Canon lens perfectly. I could tell no difference in picture quality or in auto focus ability with or without this filter - which is very good. The research shows these filters won't protect against much of a blow, but it will protect against scratches and blowing dust. I know - because that is why I bought this one. My old Tiffen filter bit the dust - literally - and left my lens unharmed. I expect this one will do as well.",Exactly what I was expecting,5.0 out of 5 stars,Verified Purchase
One person found this helpful,dubyam,"Reviewed in the United States on February 3, 2020","I use UV filters as an extra layer of protection for my lenses when I'm out and about. They come off for some shots if I don't want the added reflection/refraction (like when I'm shooting astrophotography or around water) but generally, keep them clean and they won't show up in any photos. This one is inexpensive, solid, with good threads and works well. I have half a dozen of these on various lenses and they are up to nearly a decade old. I won't switch until given a good reason, and so far, no reason to switch.","Simple, basic, good quality.  What more do you want?",5.0 out of 5 stars,Verified Purchase
One person found this helpful,bighedge,"Reviewed in the United States on September 10, 2015","Had to get another Tiffen - my previous filter saved my lens. Somehow, as I'm walking back from a shoot on the beach, and my camera is hanging by rapid strap around my head, my Canon 70-200 FALLS OFF and hits the pavement. My stomach knotted up as I reached down and scooped up my little work-horse and carried it back to the car. I examined it, put it back on the camera and tried it out. Functions were all okay, but the lens had a huge circular crack. Or did it? I removed the cracked filter to find that the lens was unscathed. The filter had taken the brunt of the fall. It was dented and cracked, but it had absorbed the energy from the fall. Resolved to never go without a filter again.",Had to get another Tiffen - my previous filter saved ...,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Wilbur,"Reviewed in the United States on November 5, 2019","Basic UV protective filter, needed it b/c I broke the one that was issued with the kid. Didn't really focus on the quality, or auto-focus... BUT the anti-glare isn't good at all. It scratched the itch, but I wouldn't use this on my personal kit.",It's a UV Filter...,3.0 out of 5 stars,Verified Purchase
One person found this helpful,Alan,"Reviewed in the United States on August 6, 2019","Purchased two filters for my most used lenses. Wasn't able to try them until after the return period. Both have noticeable ghosting while shooting inside and outside at night time. Was going to contact Tiffen support directly, but to submit a support request, you have to agree to their TOS. Their TOS include being added to a mailing list and my personal data being exported. No thanks, Tiffen. I'll take the loss",Ghosting on both filters purchased,1.0 out of 5 stars,Verified Purchase
3 people found this helpful,Stack⠀Overflow,"Reviewed in the United States on January 19, 2014","I use this filter for the Canon 50mm f/f.8 lens. It doesn't add a lot of bulk to the lens while it keeps the front glass element and the top plastic rim of the lens from getting damaged. I know it's a cheap lens, but the filter -- currently priced at 4.49 -- is very cheap insurance against accidental damaged to the lens.(Note: This filter will also fit the ",Effective Protection For The Canon 50mm f/1.8,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Michael,"Reviewed in the United States on May 12, 2020",".)Now, the so-called UV protection is a marketing gimmick. UV protection is a throwback from the days of film SLR's. Modern DSLR's have a built-in UV filter. Therefore, the Tiffen UV filter does nothing in the way of improving the quality of your photos. In fact, in some situations, it may actually DEGRADE image quality because this filter is NOT multi-coasted (like the higher quality ",Adversely Affects Image Sharpness,1.0 out of 5 stars,Verified Purchase
One person found this helpful,Chris,"Reviewed in the United States on July 10, 2018",") to reduce or eliminate flare.If you're on a tight budget and don't want to shell out the extra money for the B+W, this filter will work just fine -- as long as you're not shooting into a direct light source, like a sunset or incandescent light -- which MAY cause light flare to appear in your photos.---For the price, this Tiffen filter is a good buy for those on a tight budget. Just be aware of the potential problem of flare when shooting into direct light.",Basic Cheap Filter,3.0 out of 5 stars,Verified Purchase
One person found this helpful,DAP,"Reviewed in the United States on October 10, 2018","I took numerous shots of various birds in the pond near our home , in particular, one that I had photographed before receiving this filter. When I downloaded the pictures I couldn't understand why none were in focus. A little bit of subsequent testing proved it was the effect of the filter. It is being returned.",Does the Job Now,3.0 out of 5 stars,Verified Purchase
2 people found this helpful,Socal CLoin,"Reviewed in the United States on March 3, 2013","So after a weekend at a racetrack in the desert i learned sand gets in everything. It was my second day out with a DSLR and was about to just wipe the sand off the lens with my shirt and lucky for me someone stopped me. Sand will scratch the glass. They then told me to buy some a couple UV filters for harsh conditions like this, if it gets ruined it is only a few bucks vs couple hundred or more for a lens.So I took his advice and bought these. Now outdoors in bright sunlight taking pictures of animals and cars.. the pics come out good as far as I can tell. But in low light indoors with things like candles, small lamps, etc.. there is lots of ghosting and i guess what could be called haze.So if you need cheap protection for a day outside when you are going to pass your camera around or have the elements flung at you. These work - OK at best. Professional eyes will say they are not much better than a sheet of glass, or so I have read in multiple UV filter comparisons.I have now read the articles about how dust, grime, (even small pieces of tape) on the front element is hardly noticeable in pictures to most people. So if the pictures need to be nice, drop the protective filter concept and use your lens how it was ment to be used.But when I am out taking 1K shots at a racetrack in the desert, having dirt flung at me from dirt bikes, or mud from dirt oval cars.. I will keep the filter on in daylight. If mud gets on the front it is a quick swap to another UV filter instead of cleaning(I carry 2).So yeah you get what you pay for, they do protect.. but just think when it is really needed or not.Side note - I only have 2 lenses the 18-55mm kit lens that came with my D5100 and a refurbished 55-200mm VR that I got for $130.. I really do not need to worry so much about my glass. If I spend big money on a lens and want to protect it, I will order the highest quality filters for it. Why buy a nice lens if you are going to throw a low cost filter on the front? Why not just use a cheap lens then?",Yeah they are OK - rookie's 2 cents,3.0 out of 5 stars,Verified Purchase
One person found this helpful,Talha Shah,"Reviewed in the United States on August 21, 2020","This filter produces strong glare. If you don't really care about the image quality and want to protect the front element of your lens, this filter will do the trick. If you do care about the IQ, spend a little bit more and get a Hoya or B+W and you won't be disappointed. I returned mine. In hindsight I shouldn't have purchased it. You get what you pay for; this is 100% true for photography gear.",Cheap filter causes strong glare,3.0 out of 5 stars,Verified Purchase
One person found this helpful,Keith O'Hara,"Reviewed in the United States on December 14, 2020",The lens arrived on time in a new package and was a very reasonable price however when I opened the container the lens had a scratch on it it is small enough that I don’t think it will affect the pictures that I take with it however it is somewhat disconcerting that it did have a scratch on it no one looked at this Lens before they put it in the box,Scratched lens,3.0 out of 5 stars,Verified Purchase
2 people found this helpful,Jonathan,"Reviewed in the United States on May 16, 2019","This high quality filter won't degrade your image quality when placed on top of good glass, and it's anti glare coatings help in direct sunlight. It saved me from having to purchase a 800 dollar lens when I dropped it by accident, so it pays for itself!! If you're looking for basic lens protection, Tiffen does not disappoint! Pay for it once, and it will certainly reward you in those dire times when you really need it!",Has saved my lens!,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Coastalhome,"Reviewed in the United States on May 2, 2014",I just purchased 5 different sizes (52mm to 77mm) ,Inexpensive protection for expensive lenses.,3.0 out of 5 stars,Verified Purchase
3 people found this helpful,Derek S.,"Reviewed in the United States on July 21, 2019","Not sure why it asks if it's anti glare, it's basically just a protective outter piece of glass to protect the glass on your lens from scratch. That being said, I feel considerably more comfortable having this on my lens. Every lens should have a uv filter. If you're getting glare then just screw on an ND fiter to the front of this one",Good purchase,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Eric Rex Wolf,"Reviewed in the United States on January 27, 2018","While it does a good job keeping the lens safe, I think it hurts the image quality ever so slightly. I tend to let the camera roam around my bag so this gives me piece of mind that the camera lens does not get scratched. It great for those in the moment photos and not worrying about the front lens.For those photos you have time to take. It's easy to take off.",Great lens protection,5.0 out of 5 stars,Verified Purchase
One person found this helpful,Lynne S,"Reviewed in the United States on June 24, 2019","When I first put the filter on I thought it was just dirty, after attempting to clean and further review I can see that the coatings on this filter didn't go on properly. I've worked with high end optics before and this is the first Tiffen product that hasn't been high quality - so I'm writing it off as a defect that slipped through Q/A process.",Lens has film layers on it from coating process,1.0 out of 5 stars,Verified Purchase
2 people found this helpful,JadeJ,"Reviewed in the United States on April 3, 2018","saw this come up as an add on to a wide angle lens i was ordering for my canon 80d. of course, i thought that it would FIT the canon 80d since it appeared as what seemed to be an 'often bought together"" item. I ended up getting another type of lens, but wanted the UV so ordered it separately. Well.... it is HUGE and does not fit at all. and now they want $5+ just to 'return' it. hmmm. i guess 'buyer beware' is the code word of the day.now i have NO filter and am gun shy on trying to order another one.",it is HUGE - double check if Amazon bundles this with your camera or lens - the return cost is not cheap!,1.0 out of 5 stars,Verified Purchase
One person found this helpful,Ffaelan Condragh,"Reviewed in the United States on October 15, 2017","I have had this filter on my new lens since it arrived. Today I found it cracked in half. Maybe it was my doing. Maybe I dropped my bag a little rough. But honestly I have not done anything differently with this new filter than I did with the last one, which was a generic. I bought this one because my new lens is 62mm and not 58mm like my other lenses. I bought it because it was a Tiffen. Which is supposed to mean quality. I guess I will go back to generics. At least they are cheaper.",Name brand not always better?,2.0 out of 5 stars,Verified Purchase
One person found this helpful,Laurie,"Reviewed in the United States on April 21, 2018","The axiom ""you get what you pay for"" is true in this case. If you have inexpensive glass then Tiffen is adequate. For instance it's generally fine for a kit lens which will eventually find itself hidden in your kit. But if you're going to spend hundreds or thousands of dollars on lenses, go in a different direction. Since they're not well coated, you'll get more reflection back at you and considerable more lens flare than you'd want. It really is okay to spend twenty bucks more!",Lacking,1.0 out of 5 stars,Verified Purchase
2 people found this helpful,Jason K walz,"Reviewed in the United States on February 12, 2021","I ordered this yesterday, put it on this morning, and came home to this. It was actually on the lens when my Cocker Spaniel decided to see if there was anything to eat in the camera bag. He knocked the entire bag to the floor and the filter cracked. Did it protect the lens and take the bulk of the abuse? Definitely! The metal on the lens was even a little dinged. That dog ....","Well, that didn't last long ...",5.0 out of 5 stars,Verified Purchase
2 people found this helpful,Pete Chen,"Reviewed in the United States on January 8, 2012","I put this on my 50mm 1.8. It cost me around five bucks. I had been very happy with it until one day I suspected that all the ghosting, glares, and reflections of light sources on some photos might come from this filter. I do an experiment with a light source, a lamp, in the photo. Yes, the refection is in the photo. I can even see the reflection through viewfinder. I then swap it with a HOYA HMC. The refection is gone. The reflection for sure is not there if I don't put any filter on. This filter does protect my lens well. But the whole purpose of the lens is to take quality pictures, not to be cherished behind a glass.Tiffen filters of different sizes have been Amazon best sellers. Yes, they fit well. The build quality is good. But you will be very sorry when you finally find that it is the cause of the glares, ghosting, and reflections. I believe Tiffen has coated versions. But I didn't try them.The problem is not on the quality of the filters. They are simply not coated. But if I have to be mindful about what it might harm my photos when I take them in certain situations, I cannot use them.I know B+W has good filters, but they are expensive. I have been having good luck with HOYA HMC. It is around twenty dollar range. Very affordable. So my suggestion is dump this filter and go with that one.",Filter for protection and for protection only,2.0 out of 5 stars,Verified Purchase
One person found this helpful,Haik,"Reviewed in the United States on September 23, 2019","So 2 things. The glass was very dirty. But that can be cleaned so ok. The glass is loose like it's about to fall out of the ring! Was there any quality control done for this product? I'm guessing someone returned it dirty, and they just put it back on the shelf. Guys there's a reason this product is so cheap.",There's a reason it's so cheap,1.0 out of 5 stars,Verified Purchase
One person found this helpful,J Fig,"Reviewed in the United States on November 3, 2019","Purchased the Tiffen 62mm UV filter for my Rokinon 135mm E mount. What more can one say besides the fact that the price is right. Purchased for lens element protection, and it does just that. There is side glare on my specific lens, but for the price I knew what I was getting so this did not catch me by surprise.",Great. It is what it is.,5.0 out of 5 stars,Verified Purchase
3 people found this helpful,D OC,"Reviewed in the United States on September 22, 2018","This is quite a detailed road map for those who are doing their own driving. I can strongly recommend it for that. However, I take either a train or bus when traveling abroad. While the map does show train and bus stations in the key to symbols, it is impossible or nearly so to see routes.","Good if you're driving, not so good for trains or buses",4.0 out of 5 stars,Verified Purchase
